priority	evidence_kind	tool_name	record_id	source_title	source_url	doi_or_pmid	task	modality	current_audit_labels	current_recommended_action	recovery_goal	required_review_fields	suggested_source_lookup	decision	reviewed_by	review_time	reviewer_notes	source_section	source_figure_or_table	source_span	claim_text	verified_task	verified_modality	canonical_scope	authority_tier	recommendation_eligible	metric	rank	score	normalized_score	rank_scope	n_tools_compared	caveat_type	promotion_ready
1	publication	Seurat	CAND_PUB_Seurat_v3_2019_Stuart	Comprehensive Integration of Single-Cell Data	https://doi.org/10.1016/j.cell.2019.05.031	10.1016/j.cell.2019.05.031	Data Integration	scRNA-seq	source_bound;title_only_claim_span;reviewer_identity_unclear	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1016/j.cell.2019.05.031	needs_manual_review								Data Integration	scRNA-seq	core_tool	canonical_primary	true								false
1	publication	Seurat	CAND_PUB_Seurat_v4_2021_Hao	Integrated analysis of multimodal single-cell data	https://doi.org/10.1016/j.cell.2021.04.048	10.1016/j.cell.2021.04.048	Data Integration;Multimodal Analysis	scRNA-seq;multiome	source_bound;title_only_claim_span;reviewer_identity_unclear	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1016/j.cell.2021.04.048	needs_manual_review								Data Integration;Multimodal Analysis	scRNA-seq;multiome	major_version	canonical_secondary	true								false
1	benchmark	Seurat	HR_BMK_Seurat_scIB_integration_2022	Benchmarking atlas-level data integration in single-cell genomics	https://doi.org/10.1038/s41592-021-01336-8	10.1038/s41592-021-01336-8	Data Integration	scRNA-seq;scATAC-seq	qualitative_only	downgrade_to_retrieval_until_numeric_source_verified	Recover numeric/source-bound benchmark evidence, or keep as caveat/retrieval only.	decision;reviewed_by;source_span;metric;rank_or_score_or_normalized_score;rank_scope_or_n_tools_compared;verified_task;verified_modality;caveat_type	https://doi.org/10.1038/s41592-021-01336-8	needs_manual_review							High biological conservation, moderate to high batch correction via CCA/RPCA.	Data Integration	scRNA-seq;scATAC-seq				Batch mixing and biological conservation				scIB atlas-level integration benchmark	68		false
2	publication	Scanpy	CAND_PUB_Scanpy_4671c99f42e8	SCANPY: large-scale single-cell gene expression data analysis	https://doi.org/10.1186/s13059-017-1382-0	10.1186/s13059-017-1382-0			source_bound;title_only_claim_span;missing_task;missing_modality;reviewer_identity_unclear;candidate_search_needs_manual_anchor_check;citation_supported	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1186/s13059-017-1382-0	needs_manual_review										core_tool	canonical_primary	true								false
2	publication	Scanpy	CAND_PUB_Scanpy_7fdbdd740af7	Scirpy: a Scanpy extension for analyzing single-cell T-cell receptor-sequencing data	https://doi.org/10.1093/bioinformatics/btaa611	10.1093/bioinformatics/btaa611			source_bound;title_only_claim_span;missing_task;missing_modality;reviewer_identity_unclear;non_main_or_incomplete_recommendation_metadata;candidate_search_needs_manual_anchor_check;citation_supported	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1093/bioinformatics/btaa611	needs_manual_review										ecosystem_component	ecosystem_support	false								false
2	benchmark	Scanpy	HR_BMK_Scanpy_batch_correction_2020	Comparison of Scanpy-based algorithms to remove the batch effect from single-cell RNA-seq data	https://doi.org/10.1186/s13619-020-00041-9	10.1186/s13619-020-00041-9	Data Integration;Batch Correction	scRNA-seq	qualitative_only	downgrade_to_retrieval_until_numeric_source_verified	Recover numeric/source-bound benchmark evidence, or keep as caveat/retrieval only.	decision;reviewed_by;source_span;metric;rank_or_score_or_normalized_score;rank_scope_or_n_tools_compared;verified_task;verified_modality;caveat_type	https://doi.org/10.1186/s13619-020-00041-9	needs_manual_review							Native and wrapped Scanpy methods provide highly scalable batch correction.	Data Integration;Batch Correction	scRNA-seq				Batch mixing and computational efficiency				Scanpy batch-correction method comparison	4		false
3	publication	Harmony	CAND_PUB_Harmony_072fd76703cc	Fast, sensitive, and accurate integration of single cell data with Harmony	https://doi.org/10.1101/461954	10.1101/461954	Data Integration		source_bound;title_only_claim_span;missing_modality;reviewer_identity_unclear;candidate_search_needs_manual_anchor_check;citation_supported	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1101/461954	needs_manual_review								Data Integration		core_tool	canonical_primary	true								false
3	benchmark	Harmony	HR_BMK_Harmony_scIB_integration_2022	Benchmarking atlas-level data integration in single-cell genomics	https://doi.org/10.1038/s41592-021-01336-8	10.1038/s41592-021-01336-8	Data Integration	scRNA-seq;scATAC-seq	qualitative_only	downgrade_to_retrieval_until_numeric_source_verified	Recover numeric/source-bound benchmark evidence, or keep as caveat/retrieval only.	decision;reviewed_by;source_span;metric;rank_or_score_or_normalized_score;rank_scope_or_n_tools_compared;verified_task;verified_modality;caveat_type	https://doi.org/10.1038/s41592-021-01336-8	needs_manual_review							Top-tier performance in overall integration score and computational efficiency.	Data Integration	scRNA-seq;scATAC-seq				Batch mixing (iLISI) and biological conservation (cLISI, ASW)				scIB atlas-level integration benchmark	68		false
4	publication	scvi-tools	CAND_PUB_scvi-tools_0214cd4cc2d8	scvi-tools: a library for deep probabilistic analysis of single-cell omics data	https://doi.org/10.1101/2021.04.28.441833	10.1101/2021.04.28.441833			source_bound;title_only_claim_span;missing_task;missing_modality;reviewer_identity_unclear;candidate_search_needs_manual_anchor_check;citation_supported	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1101/2021.04.28.441833	needs_manual_review										core_tool	canonical_primary	true								false
4	publication	scvi-tools	CAND_PUB_scvi-tools_e983ebf1014d	Scvi-hub: an actionable repository for model-driven single-cell analysis	https://doi.org/10.1038/s41592-025-02799-9	10.1038/s41592-025-02799-9			source_bound;title_only_claim_span;missing_task;missing_modality;reviewer_identity_unclear;non_main_or_incomplete_recommendation_metadata;candidate_search_needs_manual_anchor_check;citation_supported	add_source_span_or_claim_text_before_recommendation	Verify this is a canonical method paper and add a source span beyond the title.	decision;reviewed_by;source_span;claim_text;verified_task;verified_modality;canonical_scope;authority_tier;recommendation_eligible	https://doi.org/10.1038/s41592-025-02799-9	needs_manual_review										ecosystem_component	ecosystem_support	false								false
