publication_id	reviewed_by	review_time	decision	canonical_scope	evidence_category	recommendation_eligible	authority_tier	audit_support_level	notes
CAND_PUB_scvi-tools_0214cd4cc2d8	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	scvi-tools core method
CAND_PUB_scvi-tools_e983ebf1014d	human_review	2026-05-18T00:00:00+08:00	formalize	ecosystem_component	architectural_core	false	ecosystem_support	absolute_authority	scvi-tools ecosystem component; Strategy A: trusted supporting evidence, not main recommendation evidence
CAND_PUB_CellPLM_a0805df33b05	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	CellPLM core method
CAND_PUB_SeuratExtend_c1e2e7efeed4	human_review	2026-05-18T00:00:00+08:00	formalize	ecosystem_component	architectural_core	false	ecosystem_support	absolute_authority	SeuratExtend core ecosystem component; Strategy A: trusted supporting evidence, not main recommendation evidence
CAND_PUB_moscot_2f5c815e18fd	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	moscot core method
CAND_PUB_nicheformer_a899071c948d	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	nicheformer core method
CAND_PUB_MOFA2_aa1b75ff2c06	human_review	2026-05-18T00:00:00+08:00	formalize	major_version	architectural_core	true	canonical_secondary	absolute_authority	MOFA2 major version
CAND_PUB_cell2location_34b39045863f	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	cell2location core method
CAND_PUB_scGPT_0cdaba5ffd46	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	scGPT core method
CAND_PUB_scGPT_2eb4be49e9f6	human_review	2026-05-18T00:00:00+08:00	formalize	ecosystem_component	architectural_core	false	ecosystem_support	absolute_authority	scGPT spatial ecosystem component; Strategy A: trusted supporting evidence, not main recommendation evidence
CAND_PUB_CellRank_37ae953d1d1a	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	CellRank core method
CAND_PUB_CellRank_363ead324201	human_review	2026-05-18T00:00:00+08:00	formalize	major_version	architectural_core	true	canonical_secondary	absolute_authority	CellRank 2 major version
CAND_PUB_Scanpy_4671c99f42e8	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	Scanpy core method
CAND_PUB_Scanpy_7fdbdd740af7	human_review	2026-05-18T00:00:00+08:00	formalize	ecosystem_component	architectural_core	false	ecosystem_support	absolute_authority	Scanpy ecosystem component; Strategy A: trusted supporting evidence, not main recommendation evidence
CAND_PUB_Harmony_072fd76703cc	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	Harmony core method
CAND_PUB_Scrublet_137a56b00546	human_review	2026-05-18T00:00:00+08:00	formalize	core_tool	architectural_core	true	canonical_primary	absolute_authority	Scrublet core method
