section,metric,value,classification,source,limitation
Retrieval,R0_bm25_only.Recall@10,31/45,DEVELOPMENT_RESULT,data/evaluation/midterm_project_snapshot_v1/metrics.json,45 known development questions
Retrieval,R0_bm25_only.nDCG@10,0.398469,DEVELOPMENT_RESULT,data/evaluation/midterm_project_snapshot_v1/metrics.json,45 known development questions
Retrieval,R1_dense_only.Recall@10,25/45,DEVELOPMENT_RESULT,data/evaluation/midterm_project_snapshot_v1/metrics.json,45 known development questions
Retrieval,R1_dense_only.nDCG@10,0.328329,DEVELOPMENT_RESULT,data/evaluation/midterm_project_snapshot_v1/metrics.json,45 known development questions
Retrieval,R2_bm25_dense_rrf.Recall@10,31/45,DEVELOPMENT_RESULT,data/evaluation/midterm_project_snapshot_v1/metrics.json,45 known development questions
Retrieval,R2_bm25_dense_rrf.nDCG@10,0.366665,DEVELOPMENT_RESULT,data/evaluation/midterm_project_snapshot_v1/metrics.json,45 known development questions
Retrieval,R3_kg_bm25_dense_rrf.Recall@10,31/45,DEVELOPMENT_RESULT,data/evaluation/midterm_project_snapshot_v1/metrics.json,45 known development questions
Retrieval,R3_kg_bm25_dense_rrf.nDCG@10,0.366665,DEVELOPMENT_RESULT,data/evaluation/midterm_project_snapshot_v1/metrics.json,45 known development questions
Retrieval,R4_kg_bm25_dense_rrf_governance.Recall@10,31/45,DEVELOPMENT_RESULT,data/evaluation/midterm_project_snapshot_v1/metrics.json,45 known development questions
Retrieval,R4_kg_bm25_dense_rrf_governance.nDCG@10,0.388329,DEVELOPMENT_RESULT,data/evaluation/midterm_project_snapshot_v1/metrics.json,45 known development questions
Agent,llm_intent_correct,30/30,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,36 hand-authored cases; one draw
Agent,governed_intent_correct,24/30,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,36 hand-authored cases; one draw
Agent,governed_mode_correct,24/24,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,36 hand-authored cases; one draw
Agent,action_selection_correct,34/36,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,36 hand-authored cases; one draw
Agent,data_binding_correct,36/36,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,36 hand-authored cases; one draw
Agent,clarification_correct,6/6,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,36 hand-authored cases; one draw
Agent,block_correct,4/6,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,36 hand-authored cases; one draw
Agent,unauthorized_execution,0/36,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,36 hand-authored cases; one draw
Agent,structured_complete_without_run_evidence,0/36,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,36 hand-authored cases; one draw
Agent,proposal_tools.precision,1.0,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,permissible-tool precision
Agent,proposal_tools.recall,0.5,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,required-tool recall
Agent,governed_tools.precision,1.0,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,permissible-tool precision
Agent,governed_tools.recall,1.0,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,required-tool recall
Agent,actual_tools.precision,1.0,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,permissible-tool precision
Agent,actual_tools.recall,1.0,DEVELOPMENT_RESULT,data/evaluation/agent_tool_selection_v1/live-20260919-36-configured/summary.json,required-tool recall
Input binding,INPUT_BINDING_CORRECT,True,CURRENT_MEASURED,data/evaluation/midterm_input_binding_v2/20260919-current-01/summary.json,
Input binding,CROSS_SESSION_LEAKAGE,0,CURRENT_MEASURED,data/evaluation/midterm_input_binding_v2/20260919-current-01/summary.json,
Input binding,SYNTHETIC_FALLBACK_WITHOUT_EXPLICIT_USER_CHOICE,0,CURRENT_MEASURED,data/evaluation/midterm_input_binding_v2/20260919-current-01/summary.json,
Real-data E2E,raw.PLAN_COMPILED,True,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,raw.NOTEBOOK_COMPILED,True,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,raw.NOTEBOOK_EXECUTED,True,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,raw.CANDIDATE_TERMINAL_SATISFIED,False,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,raw.HUMAN_CONFIRMATION_COMPLETED,False,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,raw.FULL_SCIENTIFIC_TASK_COMPLETED,False,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,processed.PLAN_COMPILED,True,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,processed.NOTEBOOK_COMPILED,True,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,processed.NOTEBOOK_EXECUTED,True,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,processed.CANDIDATE_TERMINAL_SATISFIED,False,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,processed.HUMAN_CONFIRMATION_COMPLETED,False,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Real-data E2E,processed.FULL_SCIENTIFIC_TASK_COMPLETED,False,CURRENT_MEASURED,data/evaluation/current_version_pbmc3k_replay_v2/20260919-current-01/summary.corrected.json,
Regression,focused_tests,189/189,CURRENT_MEASURED,.sckg_exec/reports/midterm-sprint-20260919/p0-focused-tests.log,
Regression,full_suite_current_head,NOT_RUN,NOT_RUN,sprint execution boundary,
