review_priority	issue_type	priority_tier	tool_name	current_publication_status	current_benchmark_status	current_graph_status	formal_publication_ids	formal_benchmark_ids	candidate_publication_ids	candidate_benchmark_ids	suggested_action	suggested_decision	reviewer_needed_fields	risk_notes	formal_ingest_allowed_now	recommendation_use_allowed_now	reviewer_decision	reviewer_notes
P0	graph_tool_node_missing	P1	CellTypist	formal_present	formal_present	tool_node_missing	CAND_PUB_CellTypist_0ab6945053d3	HR_BMK_CellTypist_annotation_2023	CAND_PUB_CellTypist_0ab6945053d3	MANUAL_LOOKUP_BMK_CellTypist	Create or sync the Tool node from data/scrna_tools.tsv, then rerun formal-only evidence backfill.	fix_graph_tool_node	tool_name;description;github_url;language;license	Formal evidence exists locally but cannot affect recommendations until it is attached to a Tool node.	false	false		
P0	publication_anchor_missing	P0	MAESTRO	missing_formal	missing_formal	not_checked_or_ok			CAND_PUB_MAESTRO_aad5c38bcb9d	CAND_BMK_MAESTRO_e186b1ce10ff	Find and review the canonical MAESTRO method/workflow paper. Avoid secondary/editorial records.	manual_publication_anchor_lookup	title;doi;publication_year;venue;authors;source_url;canonical_scope;evidence_category;authority_tier	Current candidates include non-primary/secondary records; do not formalize shells.	false	false		
P0	publication_anchor_missing	P0	MIMOSCA	missing_formal	missing_formal	not_checked_or_ok			CAND_PUB_MIMOSCA_7882e7558c0e	CAND_BMK_MIMOSCA_fa22dc6ec443	Review whether MIMOSCA should remain candidate-only because tool/method/assay boundaries are mixed.	boundary_review_keep_candidate	scope_boundary;canonical_tool_name;primary_publication;doi;review_decision	Perturbation framework boundary is ambiguous; conservative default is keep_candidate.	false	false		
P1	publication_anchor_missing	P1	MOFA	missing_formal	missing_formal	not_checked_or_ok			CAND_PUB_MOFA_aa1b75ff2c06;CAND_PUB_MOFA_b19425a116c6;CAND_PUB_MOFA_b4282568b081;CAND_PUB_MOFA_3041b220223a;CAND_PUB_MOFA_0f26e2a99240;CAND_PUB_MOFA_93919f506bc3		Decide whether MOFA v1 needs a formal legacy/provenance row or whether MOFA2 fully covers recommendation authority.	legacy_or_provenance_review	legacy_status;primary_publication;doi;canonical_scope;recommendation_eligible	MOFA2 is already formalized; avoid duplicate authority inflation across versions.	false	false		
P1	publication_anchor_missing	P1	Seurat	missing_formal	formal_present	not_checked_or_ok		HR_BMK_Seurat_scIB_integration_2022	CAND_PUB_Seurat_bd75b9091845;CAND_PUB_Seurat_454a78daf3a3;CAND_PUB_Seurat_60157e3024b4;CAND_PUB_Seurat_77855202e52e;CAND_PUB_Seurat_93163226cbf1;CAND_PUB_Seurat_de98c08fdba4;CAND_PUB_Seurat_e050d2f72ad8;CAND_PUB_Seurat_1a55f7f15352	MANUAL_LOOKUP_BMK_Seurat	Add reviewed Seurat core/major-version anchors separately from wrapper/protocol ecosystem records.	manual_major_version_anchor_lookup	version_scope;title;doi;publication_year;venue;authors;source_url;canonical_scope;authority_tier	Existing Seurat candidates are wrappers/protocols/extensions; core Seurat anchors must be manually injected.	false	false		
P1	publication_anchor_missing	P1	SingleR	missing_formal	missing_formal	not_checked_or_ok			CAND_PUB_SingleR_8c7c430a52b8		Find and review the canonical SingleR primary paper or official citation.	manual_publication_anchor_lookup	title;doi;publication_year;venue;authors;source_url;canonical_scope;evidence_category;authority_tier	Current candidate pool contained non-primary abstract/noise; title/name collisions are possible.	false	false		
P1	publication_anchor_missing	P1	velociraptor	missing_formal	missing_formal	not_checked_or_ok			NO_CAND_velociraptor		Confirm whether velociraptor should stay wrapper/retrieval-only instead of canonical method evidence.	keep_no_candidate_or_wrapper_review	tool_scope;wrapper_scope;primary_reference_if_any;review_decision	Likely Bioconductor/interface wrapper; do not force canonical promotion.	false	false		
P1	benchmark_source_missing	P0	CellPLM	formal_present	missing_formal	not_checked_or_ok	CAND_PUB_CellPLM_a0805df33b05		CAND_PUB_CellPLM_a0805df33b05;CAND_PUB_CellPLM_fd35b2a2133f	CAND_BMK_CellPLM_363dc57e174e	Find a direct benchmark source only if this tool is recommendation-critical for a gold-query task.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;n_tools_compared;evaluation_protocol	No approved formal benchmark evidence is present; current candidates may be shells or non-target sources.	false	false		
P1	benchmark_source_missing	P0	MAESTRO	missing_formal	missing_formal	not_checked_or_ok			CAND_PUB_MAESTRO_aad5c38bcb9d	CAND_BMK_MAESTRO_e186b1ce10ff	Find a direct benchmark source only if this tool is recommendation-critical for a gold-query task.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;n_tools_compared;evaluation_protocol	No approved formal benchmark evidence is present; current candidates may be shells or non-target sources.	false	false		
P1	benchmark_source_missing	P0	MIMOSCA	missing_formal	missing_formal	not_checked_or_ok			CAND_PUB_MIMOSCA_7882e7558c0e	CAND_BMK_MIMOSCA_fa22dc6ec443	Find a direct benchmark source only if this tool is recommendation-critical for a gold-query task.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;n_tools_compared;evaluation_protocol	No approved formal benchmark evidence is present; current candidates may be shells or non-target sources.	false	false		
P1	benchmark_source_missing	P0	moscot	formal_present	missing_formal	not_checked_or_ok	CAND_PUB_moscot_2f5c815e18fd		CAND_PUB_moscot_2f5c815e18fd;CAND_PUB_moscot_eae5e65e233f	CAND_BMK_moscot_e5f5df2afd6c	Find a direct benchmark source only if this tool is recommendation-critical for a gold-query task.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;n_tools_compared;evaluation_protocol	No approved formal benchmark evidence is present; current candidates may be shells or non-target sources.	false	false		
P1	benchmark_source_missing	P0	nicheformer	formal_present	missing_formal	not_checked_or_ok	CAND_PUB_nicheformer_a899071c948d		CAND_PUB_nicheformer_a899071c948d;CAND_PUB_nicheformer_a01b6480d42a;CAND_PUB_nicheformer_2d05378381f4	CAND_BMK_nicheformer_63c790be5161	Find a direct benchmark source only if this tool is recommendation-critical for a gold-query task.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;n_tools_compared;evaluation_protocol	No approved formal benchmark evidence is present; current candidates may be shells or non-target sources.	false	false		
P1	benchmark_source_missing	P0	scvi-tools	formal_present	missing_formal	not_checked_or_ok	CAND_PUB_scvi-tools_0214cd4cc2d8;CAND_PUB_scvi-tools_e983ebf1014d		CAND_PUB_scvi-tools_e983ebf1014d;CAND_PUB_scvi-tools_0214cd4cc2d8;CAND_PUB_scvi-tools_b2bdf72116bf;CAND_PUB_scvi-tools_06f87e54c475	CAND_BMK_scvi-tools_5bd1c20780dd	Find a direct benchmark source only if this tool is recommendation-critical for a gold-query task.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;n_tools_compared;evaluation_protocol	No approved formal benchmark evidence is present; current candidates may be shells or non-target sources.	false	false		
P1	benchmark_source_missing	P0	SeuratExtend	formal_present	missing_formal	not_checked_or_ok	CAND_PUB_SeuratExtend_c1e2e7efeed4		CAND_PUB_SeuratExtend_c1e2e7efeed4	CAND_BMK_SeuratExtend_9a83a1b351b1	Find a direct benchmark source only if this tool is recommendation-critical for a gold-query task.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;n_tools_compared;evaluation_protocol	No approved formal benchmark evidence is present; current candidates may be shells or non-target sources.	false	false		
P1	benchmark_source_missing	P1	cell2location	formal_present	missing_formal	not_checked_or_ok	CAND_PUB_cell2location_34b39045863f		CAND_PUB_cell2location_34b39045863f		Find a direct spatial deconvolution/cell mapping benchmark evaluating cell2location.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;n_tools_compared;evaluation_protocol	Spatial recommendation coverage needs benchmark support, not only primary method paper.	false	false		
P1	benchmark_source_missing	P1	CellRank	formal_present	missing_formal	not_checked_or_ok	CAND_PUB_CellRank_37ae953d1d1a;CAND_PUB_CellRank_363ead324201		CAND_PUB_CellRank_37ae953d1d1a;CAND_PUB_CellRank_363ead324201;CAND_PUB_CellRank_4aa201bf932e	CAND_BMK_CellRank_a5cb3271abef	Find a direct fate-mapping/trajectory benchmark or reviewable comparative evaluation for CellRank.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;comparison_set;evaluation_protocol	Current benchmark candidate was a shell; do not formalize without extractable facts.	false	false		
P1	benchmark_source_missing	P1	MOFA	missing_formal	missing_formal	not_checked_or_ok			CAND_PUB_MOFA_aa1b75ff2c06;CAND_PUB_MOFA_b19425a116c6;CAND_PUB_MOFA_b4282568b081;CAND_PUB_MOFA_3041b220223a;CAND_PUB_MOFA_0f26e2a99240;CAND_PUB_MOFA_93919f506bc3		Find a direct benchmark source only if this tool is recommendation-critical for a gold-query task.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;n_tools_compared;evaluation_protocol	No approved formal benchmark evidence is present; current candidates may be shells or non-target sources.	false	false		
P1	benchmark_source_missing	P1	MOFA2	formal_present	missing_formal	not_checked_or_ok	CAND_PUB_MOFA2_aa1b75ff2c06		CAND_PUB_MOFA2_aa1b75ff2c06;CAND_PUB_MOFA2_b4282568b081		Find a direct benchmark source only if this tool is recommendation-critical for a gold-query task.	manual_benchmark_source_lookup	benchmark_name;source_url;task;dataset;metric;direction;result_text_or_rank;n_tools_compared;evaluation_protocol	No approved formal benchmark evidence is present; current candidates may be shells or non-target sources.	false	false		
