item_type,item_id,proposal,evidence,human_status,human_notes
entity,proposal:entity:b4b16d04ac72731e74c7e1ca,SoftwareProject: SoupX,proposal:evidence-span:f17220d25465bb238ccdb43a,PARTIAL,实体本身大概率正确，但当前绑定的 evidence 只出现 adjustCounts/index 文本，没有直接出现 SoupX 名称；应由文档元数据或 source identity 额外支持。
claim,proposal:claim:9a92e94eb8e06b075d52577d,25 Index 26 adjustCounts Remove background contamination from count matrix,proposal:evidence-span:f17220d25465bb238ccdb43a,PARTIAL,核心语义可理解为 adjustCounts 用于去除背景污染，但当前 claim 混入页码/Index 标题噪声，不是干净的 AtomicClaim。建议规范化为 'adjustCounts removes background contamination from the count matrix'。
claim,proposal:claim:6dfc194e79f86257edada7dd,"As expression data is highly sparse at the single cell level, it is highly recommended that clustering information be provided to allow the subtraction method to share information between cells.",proposal:evidence-span:067a2ec4901cb1ec6bb9838e,PARTIAL,证据直接支持，但一句中同时包含数据稀疏性、推荐 clustering、以及信息共享机制，实际上是多个 proposition。建议拆成更原子的 claim。
claim,proposal:claim:6ab8db40d16b12afffdfefbd,"With- out grouping cells into clusters, it is difficult (and usually impossible) to tell the difference between a count of 1 due to background contamination and a count of 1 due to endogenous expression.",proposal:evidence-span:d79cadbb036a7449f49ab4d4,CORRECT,证据与命题直接对应，可作为 grouping/clustering 必要性或 limitation 相关的候选 claim。后续仍需绑定合适 scope。
claim,proposal:claim:8a9af014cf9ccb3e1922c87a,"Value A modified version of the table of counts, with background contamination removed.",proposal:evidence-span:f0c16e69b656188005e08f29,CORRECT,这是明确的 output semantics：输出为去除背景污染后的修改计数表。适合作为 output/produces 类 AtomicClaim。
claim,proposal:claim:ffedbce9de7901fee8c23a83,"uk> Description Quantify, profile and remove ambient mRNA contamina- tion (the ``soup'') from droplet based single cell RNA-seq experiments.",proposal:evidence-span:f03f30440bfec548b226aff7,PARTIAL,核心科学语义合理，但含有明显解析噪声 'uk>'，而且更像软件/项目功能描述而非原子科学命题。需要清洗并明确 subject。
claim,proposal:claim:7e1333dfb17e140da951c364,"Description After the level of background contamination has been estimated or specified for a channel, calculate the resulting corrected count matrix with background contamination removed.",proposal:evidence-span:563556af575bc61f555f1a2a,CORRECT,证据直接描述 adjustCounts 的前置条件与输出行为。建议后续拆成 requirement + output 两条原子 claim，但语义本身正确。
claim,proposal:claim:978863f574da8250b1cc6134,The method parameter controls how the removal of counts in performed.,proposal:evidence-span:8c59f1e8ec012a51247ad06e,PARTIAL,原文支持，但 subject 不清楚：'method parameter' 必须绑定具体 operator/parameter，且需要补充允许值或行为语义后才是高质量 KG claim。
claim,proposal:claim:5fb34854516c62df56c93fe9,"Examples out = adjustCounts(scToy) #Return integer counts only out = adjustCounts(scToy,roundToInt=TRUE) alloc Allocate values to ""buckets"" subject to weights and constraints",proposal:evidence-span:74cee09f4ca9589a629ce807,INCORRECT,这是示例代码与下一节 alloc 标题的混合文本，不应整体作为 AtomicClaim。说明 segmentation/claim extraction 发生跨块污染。
evidence,proposal:evidence-span:f17220d25465bb238ccdb43a,25 Index 26 adjustCounts Remove background contamination from count matrix,page=2;segment=segment:853bc6c290e2531bb7ec52efcdda7aa1,PARTIAL,可定位且包含有效信息，但混入 Index/页码结构噪声；作为最终 EvidenceSpan 质量一般，应收窄到功能描述正文。
evidence,proposal:evidence-span:067a2ec4901cb1ec6bb9838e,"As expression data is highly sparse at the single cell level, it is highly recommended that clustering information be provided to allow the subtraction method to share information between cells.",page=3;segment=segment:4ab6e944edc7e460cf978a9d07d54acd,CORRECT,完整、直接、可作为 clustering recommendation/rationale 的科学证据。
evidence,proposal:evidence-span:d79cadbb036a7449f49ab4d4,"With- out grouping cells into clusters, it is difficult (and usually impossible) to tell the difference between a count of 1 due to background contamination and a count of 1 due to endogenous expression.",page=3;segment=segment:4ab6e944edc7e460cf978a9d07d54acd,CORRECT,完整且直接支持对应 limitation/rationale claim。
evidence,proposal:evidence-span:f0c16e69b656188005e08f29,"Value A modified version of the table of counts, with background contamination removed.",page=4;segment=segment:7548ea4782a6ec49445f215401cbdcea,CORRECT,清晰的 output semantics 证据。
evidence,proposal:evidence-span:f03f30440bfec548b226aff7,"uk> Description Quantify, profile and remove ambient mRNA contamina- tion (the ``soup'') from droplet based single cell RNA-seq experiments.",page=1;segment=segment:4ef6b1a4dedb2edb1cdf070f08e2bba4,PARTIAL,核心文本有效，但存在解析噪声 'uk>'，建议 EvidenceSpan 做边界清洗。
evidence,proposal:evidence-span:563556af575bc61f555f1a2a,"Description After the level of background contamination has been estimated or specified for a channel, calculate the resulting corrected count matrix with background contamination removed.",page=2;segment=segment:92b0434f048e0334d2f9bf024e3367f3,CORRECT,明确描述前置状态与输出，证据质量较好。
evidence,proposal:evidence-span:8c59f1e8ec012a51247ad06e,The method parameter controls how the removal of counts in performed.,page=3;segment=segment:4ab6e944edc7e460cf978a9d07d54acd,PARTIAL,文本本身可用，但脱离上下文后 'method parameter' 的 subject/语义不充分，作为独立证据过于模糊。
evidence,proposal:evidence-span:74cee09f4ca9589a629ce807,"Examples out = adjustCounts(scToy) #Return integer counts only out = adjustCounts(scToy,roundToInt=TRUE) alloc Allocate values to ""buckets"" subject to weights and constraints",page=4;segment=segment:ea9c18f81882809f2e1a5c79eb80639f,INCORRECT,EvidenceSpan 跨越示例代码和下一节 alloc 内容，边界过宽，属于 segmentation failure。
evidence,proposal:evidence-span:01e8bf26e0bed99d864876e8,Description The idea of this method is that genes that are highly expressed in the soup and are marker genes for some population can be used to estimate the background contamination.,page=5;segment=segment:9d66f4b2f3cbe22a880ff7aaa101fd40,CORRECT,直接描述用于估计背景污染的 marker-gene 思路，是质量较好的科学证据。
evidence,proposal:evidence-span:e54638f6129e2f585f26d2fc,These posterior distri- butions are aggregated to produce a final estimate of the contamination fraction.,page=6;segment=segment:8c0d0327bf8ab147328eb150aa3003c4,CORRECT,明确描述 contamination fraction 的估计过程，证据边界清晰。
