priority	coverage_status	action	tool_name	evidence_kind	record_id	source_title	doi_or_pmid	source_url	fetch_status	pdf_status	text_chars	local_text_path	pdf_path	suggested_pdf_path	selected_pdf_url	primary_candidate_urls	candidate_issue	dashboard_status	notes
0	missing_source_text	resolve_wrong_doi_or_replace_source	CellTypist	benchmark	HR_BMK_CellTypist_annotation_2023	A comprehensive benchmarking of cell type annotation methods for single-cell RNA sequencing	10.1093/bib/bbad418	https://doi.org/10.1093/bib/bbad418	not_fetched	bad_candidate_override	0	data/evidence_sources/text/CellTypist_HR_BMK_CellTypist_annotation_2023.txt					metadata_mismatch_pdf_title_or_doi	source_metadata_mismatch	Candidate PDF title is PanomiR: a systems biology framework for analysis of multi-pathway targeting by miRNAs; do not use for cell type annotation benchmark.
0	missing_source_text	resolve_wrong_doi_or_replace_source	SingleR	benchmark	HR_BMK_SingleR_annotation_2023	A comprehensive benchmarking of cell type annotation methods for single-cell RNA sequencing	10.1093/bib/bbad418	https://doi.org/10.1093/bib/bbad418	not_fetched	bad_candidate_override	0	data/evidence_sources/text/SingleR_HR_BMK_SingleR_annotation_2023.txt					metadata_mismatch_pdf_title_or_doi	source_metadata_mismatch	Candidate PDF title is PanomiR: a systems biology framework for analysis of multi-pathway targeting by miRNAs; do not use for cell type annotation benchmark.
1	missing_source_text	pdf_extraction_failed_use_alternate_text_or_repair	Seurat	publication	CAND_PUB_Seurat_v3_2019_Stuart	Comprehensive Integration of Single-Cell Data	10.1016/j.cell.2019.05.031	https://doi.org/10.1016/j.cell.2019.05.031	not_fetched	extract_error	0	data/evidence_sources/text/Seurat_CAND_PUB_Seurat_v3_2019_Stuart.txt	data/evidence_sources/pdfs/news/Seurat_CAND_PUB_Seurat_v3_2019_Stuart.pdf	data/evidence_sources/pdfs/Seurat_CAND_PUB_Seurat_v3_2019_Stuart.pdf				pdf_exists_but_extract_failed	Manual/open-source text capture target. Do not promote without review packet validation.; pypdf failed: PdfReadError: Invalid object in /Pages; PDF text extraction produced empty text
1	missing_source_text	pdf_extraction_failed_use_alternate_text_or_repair	Seurat	publication	CAND_PUB_Seurat_v4_2021_Hao	Integrated analysis of multimodal single-cell data	10.1016/j.cell.2021.04.048	https://doi.org/10.1016/j.cell.2021.04.048	not_fetched	extract_error	0	data/evidence_sources/text/Seurat_CAND_PUB_Seurat_v4_2021_Hao.txt	data/evidence_sources/pdfs/news/Seurat_CAND_PUB_Seurat_v4_2021_Hao.pdf	data/evidence_sources/pdfs/Seurat_CAND_PUB_Seurat_v4_2021_Hao.pdf				pdf_exists_but_extract_failed	Manual/open-source text capture target. Do not promote without review packet validation.; pypdf failed: PdfReadError: Invalid object in /Pages; PDF text extraction produced empty text
2	source_text_available	already_ingested	Harmony	publication	CAND_PUB_Harmony_072fd76703cc	Fast, sensitive, and accurate integration of single cell data with Harmony	10.1101/461954	https://doi.org/10.1101/461954	pdf_text_extracted	pdf_text_extracted	84429	data/evidence_sources/text/Harmony_CAND_PUB_Harmony_072fd76703cc.txt	data/evidence_sources/pdfs/news/Harmony_CAND_PUB_Harmony_072fd76703cc.pdf	data/evidence_sources/pdfs/Harmony_CAND_PUB_Harmony_072fd76703cc.pdf				source_text_available	No primary PDF URL was exposed by Crossref/DOI landing page; search by title/DOI or use institutional access if legal.
2	source_text_available	already_ingested	Scrublet	benchmark	HR_BMK_Scrublet_doublet_detection_2020	Benchmarking Computational Doublet-Detection Methods for Single-Cell RNA Sequencing Data	10.1016/j.cels.2020.11.008	https://doi.org/10.1016/j.cels.2020.11.008	pdf_text_extracted	pdf_text_extracted	123490	data/evidence_sources/text/Scrublet_HR_BMK_Scrublet_doublet_detection_2020.txt	data/evidence_sources/pdfs/news/Scrublet_HR_BMK_Scrublet_doublet_detection_2020.pdf	data/evidence_sources/pdfs/Scrublet_HR_BMK_Scrublet_doublet_detection_2020.pdf				source_text_available	No primary PDF URL was exposed by Crossref/DOI landing page; search by title/DOI or use institutional access if legal.
2	source_text_available	already_ingested	Scrublet	publication	CAND_PUB_Scrublet_137a56b00546	Scrublet: Computational Identification of Cell Doublets in Single-Cell Transcriptomic Data	10.1016/j.cels.2018.11.005	https://doi.org/10.1016/j.cels.2018.11.005	pdf_text_extracted	pdf_text_extracted	87840	data/evidence_sources/text/Scrublet_CAND_PUB_Scrublet_137a56b00546.txt	data/evidence_sources/pdfs/news/Scrublet_CAND_PUB_Scrublet_137a56b00546.pdf	data/evidence_sources/pdfs/Scrublet_CAND_PUB_Scrublet_137a56b00546.pdf				source_text_available	No primary PDF URL was exposed by Crossref/DOI landing page; search by title/DOI or use institutional access if legal.
2	source_text_available	already_ingested	scVelo	benchmark	HR_BMK_scVelo_velocity_unraveled_2022	RNA velocity unraveled	10.1371/journal.pcbi.1010492	https://doi.org/10.1371/journal.pcbi.1010492	pdf_text_extracted	pdf_text_extracted	196983	data/evidence_sources/text/scVelo_HR_BMK_scVelo_velocity_unraveled_2022.txt	data/evidence_sources/pdfs/news/scVelo_HR_BMK_scVelo_velocity_unraveled_2022.pdf	data/evidence_sources/pdfs/scVelo_HR_BMK_scVelo_velocity_unraveled_2022.pdf				source_text_available	No primary PDF URL was exposed by Crossref/DOI landing page; search by title/DOI or use institutional access if legal.
2	source_text_available	already_ingested	scvi-tools	publication	CAND_PUB_scvi-tools_0214cd4cc2d8	scvi-tools: a library for deep probabilistic analysis of single-cell omics data	10.1101/2021.04.28.441833	https://doi.org/10.1101/2021.04.28.441833	pdf_text_extracted	pdf_text_extracted	17363	data/evidence_sources/text/scvi-tools_CAND_PUB_scvi-tools_0214cd4cc2d8.txt	data/evidence_sources/pdfs/news/scvi-tools_CAND_PUB_scvi-tools_0214cd4cc2d8.pdf	data/evidence_sources/pdfs/scvi-tools_CAND_PUB_scvi-tools_0214cd4cc2d8.pdf				source_text_available	No primary PDF URL was exposed by Crossref/DOI landing page; search by title/DOI or use institutional access if legal.
3	source_text_available	already_ingested	CellTypist	publication	CAND_PUB_CellTypist_0ab6945053d3	Cross-tissue immune cell analysis reveals tissue-specific features in humans	10.1126/science.abl5197	https://doi.org/10.1126/science.abl5197	pdf_text_extracted	pdf_text_extracted	87537	data/evidence_sources/text/CellTypist_CAND_PUB_CellTypist_0ab6945053d3.txt	data/evidence_sources/pdfs/news/CellTypist_CAND_PUB_CellTypist_0ab6945053d3.pdf	data/evidence_sources/pdfs/CellTypist_CAND_PUB_CellTypist_0ab6945053d3.pdf	https://www.science.org/doi/pdf/10.1126/science.abl5197	https://www.science.org/doi/pdf/10.1126/science.abl5197		source_text_available	A primary PDF URL was discovered, but scripted download failed; open source_url or selected_pdf_url in browser and save as suggested_pdf_path.
