tool_name	priority_tier	source	hit_count	rationale
scvi-tools	P0	core_seed+review_queue	8	high-frequency recommendation candidate; integration and latent modeling evidence anchor
CellPLM	P0	core_seed+review_queue	8	high-frequency recommendation candidate; model-based single-cell foundation model evidence anchor
SeuratExtend	P0	core_seed+review_queue	8	high-frequency recommendation candidate; Seurat ecosystem workflow evidence anchor
moscot	P0	core_seed+review_queue	6	high-frequency recommendation candidate; optimal transport and multi-condition/spatial evidence anchor
nicheformer	P0	core_seed+review_queue	6	high-frequency recommendation candidate; foundation model and niche analysis evidence anchor
MAESTRO	P0	core_seed+review_queue	6	high-frequency recommendation candidate; multi-omics workflow evidence anchor
MIMOSCA	P0	core_seed+review_queue	6	high-frequency recommendation candidate; perturbation/multi-condition evidence anchor
MOFA	P1	core_seed+review_queue	4	multi-omics factor analysis evidence anchor
MOFA2	P1	core_seed+review_queue	4	multi-omics factor analysis evidence anchor
cell2location	P1	core_seed+review_queue	4	spatial deconvolution evidence anchor
scIB	P1	core_seed+review_queue	4	integration benchmark evidence anchor
SingleR	P1	core_seed+review_queue	2	cell type annotation evidence anchor
scGPT	P1	core_seed+review_queue	2	foundation model evidence anchor
CellRank	P1	core_seed+review_queue	2	trajectory and fate mapping evidence anchor
tradeSeq	P1	core_seed+review_queue	2	trajectory differential expression evidence anchor
velociraptor	P1	core_seed+review_queue	2	RNA velocity workflow evidence anchor
wot	P1	core_seed+review_queue	2	trajectory and optimal transport evidence anchor
ACTIONet	P2	review_queue	4	graph/trajectory-style analysis candidate with missing literature evidence
ASAP	P2	review_queue	4	workflow candidate with missing literature evidence
RcppML	P2	review_queue	4	matrix factorization candidate with missing literature evidence
SATURN	P2	review_queue	4	cross-species/integration candidate with missing literature evidence
SnapATAC2	P2	review_queue	4	scATAC workflow candidate with missing literature evidence
SuperCell	P2	review_queue	4	metacell candidate with missing literature evidence
UCE	P2	review_queue	4	foundation model candidate with missing literature evidence
scMDC	P2	review_queue	4	multi-modal clustering candidate with missing literature evidence
sfaira	P2	review_queue	4	data/model ecosystem candidate with missing literature evidence
CellTools	P3	review_queue	2	name-normalization-sensitive candidate; verify identity before promotion
HieRFIT	P3	review_queue	2	long-tail candidate with missing literature evidence
LIGER	P3	review_queue	2	integration candidate with missing literature evidence
Matilda	P3	review_queue	2	long-tail candidate with missing literature evidence
Panpipes	P3	review_queue	2	pipeline/workflow candidate with missing literature evidence
SCING-pipeline	P3	review_queue	2	pipeline/workflow candidate with missing literature evidence
SCRIPro	P3	review_queue	2	long-tail candidate with missing literature evidence
SpaOTsc	P3	review_queue	2	spatial/optimal transport candidate with missing literature evidence
SpatialScope	P3	review_queue	2	spatial mapping candidate with missing literature evidence
cellpypes	P3	review_queue	2	name-normalization-sensitive candidate; verify identity before promotion
cellstates	P3	review_queue	2	name-normalization-sensitive candidate; verify identity before promotion
dpi	P3	review_queue	2	ambiguous-name candidate; verify identity before promotion
scCancer2	P3	review_queue	2	application-domain candidate with missing literature evidence
scDataviz	P3	review_queue	2	visualization candidate with missing literature evidence
scGate	P3	review_queue	2	cell type annotation/filtering candidate with missing literature evidence
scMCA	P3	review_queue	2	cell annotation atlas candidate with missing literature evidence
Scanpy	P1	foundational_catalog	0	foundational scRNA-seq analysis toolkit; should have canonical publication evidence
Seurat	P1	foundational_catalog	0	foundational scRNA-seq analysis toolkit; should have canonical publication evidence
Harmony	P1	foundational_catalog	0	foundational batch correction/integration method; should have canonical publication evidence
Scrublet	P1	foundational_catalog	0	doublet detection workflow evidence anchor
DoubletFinder	P1	foundational_catalog	0	doublet detection workflow evidence anchor
SoupX	P1	foundational_catalog	0	ambient RNA correction workflow evidence anchor
CellTypist	P1	foundational_catalog	0	cell type annotation evidence anchor
scVelo	P1	foundational_catalog	0	RNA velocity and trajectory workflow evidence anchor
