source_id	source_key	canonical_title	doi	source_url	source_type	source_status	local_pdf_path	local_text_path	recommended_pdf_path	validation_status	validation_issue	referring_record_ids	referring_tool_names	evidence_kinds	source_row_count	text_chars	notes
SRC_ef635ea75d05ce49	doi:10.1016/j.cell.2019.05.031	Comprehensive Integration of Single-Cell Data	10.1016/j.cell.2019.05.031	https://doi.org/10.1016/j.cell.2019.05.031	doi_landing_or_open_html	pdf_extraction_failed	data/evidence_sources/pdfs/news/Seurat_CAND_PUB_Seurat_v3_2019_Stuart.pdf	data/evidence_sources/text/Seurat_CAND_PUB_Seurat_v3_2019_Stuart.txt	data/evidence_sources/pdfs/sources/SRC_ef635ea75d05ce49_Comprehensive_Integration_of_Single-Cell_Data.pdf	pdf_exists_but_extract_failed	Manual/open-source text capture target. Do not promote without review packet validation.; pypdf failed: PdfReadError: Invalid object in /Pages; PDF text extraction produced empty text	CAND_PUB_Seurat_v3_2019_Stuart	Seurat	publication	1	0	Manual/open-source text capture target. Do not promote without review packet validation.; pypdf failed: PdfReadError: Invalid object in /Pages; PDF text extraction produced empty text
SRC_db5de0e73432eaa8	doi:10.1016/j.cell.2021.04.048	Integrated analysis of multimodal single-cell data	10.1016/j.cell.2021.04.048	https://doi.org/10.1016/j.cell.2021.04.048	doi_landing_or_open_html	pdf_extraction_failed	data/evidence_sources/pdfs/news/Seurat_CAND_PUB_Seurat_v4_2021_Hao.pdf	data/evidence_sources/text/Seurat_CAND_PUB_Seurat_v4_2021_Hao.txt	data/evidence_sources/pdfs/sources/SRC_db5de0e73432eaa8_Integrated_analysis_of_multimodal_single-cell_data.pdf	pdf_exists_but_extract_failed	Manual/open-source text capture target. Do not promote without review packet validation.; pypdf failed: PdfReadError: Invalid object in /Pages; PDF text extraction produced empty text	CAND_PUB_Seurat_v4_2021_Hao	Seurat	publication	1	0	Manual/open-source text capture target. Do not promote without review packet validation.; pypdf failed: PdfReadError: Invalid object in /Pages; PDF text extraction produced empty text
SRC_c434ea27b1809e51	doi:10.1093/bib/bbad418	A comprehensive benchmarking of cell type annotation methods for single-cell RNA sequencing	10.1093/bib/bbad418	https://doi.org/10.1093/bib/bbad418	doi_landing_or_open_html	source_metadata_mismatch			data/evidence_sources/pdfs/sources/SRC_c434ea27b1809e51_A_comprehensive_benchmarking_of_cell_type_annotation_methods_for_single-cell_RNA.pdf	source_metadata_mismatch	metadata_mismatch_pdf_title_or_doi; Candidate PDF title is PanomiR: a systems biology framework for analysis of multi-pathway targeting by miRNAs; do not use for cell type annotation benchmark.	HR_BMK_CellTypist_annotation_2023; HR_BMK_SingleR_annotation_2023	CellTypist; SingleR	benchmark	2	0	Manual/open-source text capture target. Do not promote without review packet validation.; Skipped PDF ingest because this record has a bad-candidate override: Candidate PDF title is PanomiR: a systems biology framework for analysis of multi-pathway targeting by miRNAs; do not use for cell type annotation benchmark.
SRC_c2071d5d7f91aaa4	doi:10.1038/s41592-021-01336-8	Benchmarking atlas-level data integration in single-cell genomics	10.1038/s41592-021-01336-8	https://doi.org/10.1038/s41592-021-01336-8	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/Seurat_HR_BMK_Seurat_scIB_integration_2022.pdf	data/evidence_sources/text/Seurat_HR_BMK_Seurat_scIB_integration_2022.txt	data/evidence_sources/pdfs/sources/SRC_c2071d5d7f91aaa4_Benchmarking_atlas-level_data_integration_in_single-cell_genomics.pdf	validated_source_text_available		HR_BMK_Seurat_scIB_integration_2022; HR_BMK_Harmony_scIB_integration_2022; HR_BMK_scvi_tools_scIB_integration_2022	Seurat; Harmony; scvi-tools	benchmark	3	112943	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_9aa559c50b79dac0	doi:10.1016/j.cels.2020.11.008	Benchmarking Computational Doublet-Detection Methods for Single-Cell RNA Sequencing Data	10.1016/j.cels.2020.11.008	https://doi.org/10.1016/j.cels.2020.11.008	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/news/Scrublet_HR_BMK_Scrublet_doublet_detection_2020.pdf	data/evidence_sources/text/Scrublet_HR_BMK_Scrublet_doublet_detection_2020.txt	data/evidence_sources/pdfs/sources/SRC_9aa559c50b79dac0_Benchmarking_Computational_Doublet-Detection_Methods_for_Single-Cell_RNA_Sequenc.pdf	validated_source_text_available		HR_BMK_Scrublet_doublet_detection_2020	Scrublet	benchmark	1	123490	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_e1fc9c55cbd1f74a	doi:10.1038/s41592-022-01480-9	Benchmarking spatial and single-cell transcriptomics integration methods for transcript distribution prediction and cell type deconvolution	10.1038/s41592-022-01480-9	https://doi.org/10.1038/s41592-022-01480-9	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/news/cell2location_HR_BMK_cell2location_spatial_deconvolution_2022.pdf	data/evidence_sources/text/cell2location_HR_BMK_cell2location_spatial_deconvolution_2022.txt	data/evidence_sources/pdfs/sources/SRC_e1fc9c55cbd1f74a_Benchmarking_spatial_and_single-cell_transcriptomics_integration_methods_for_tra.pdf	validated_source_text_available		HR_BMK_cell2location_spatial_deconvolution_2022	cell2location	benchmark	1	95583	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_3508d01296caa4ca	doi:10.1038/s41587-021-01139-4	Cell2location maps fine-grained cell types in spatial transcriptomics	10.1038/s41587-021-01139-4	https://doi.org/10.1038/s41587-021-01139-4	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/news/cell2location_CAND_PUB_cell2location_34b39045863f.pdf	data/evidence_sources/text/cell2location_CAND_PUB_cell2location_34b39045863f.txt	data/evidence_sources/pdfs/sources/SRC_3508d01296caa4ca_Cell2location_maps_fine-grained_cell_types_in_spatial_transcriptomics.pdf	validated_source_text_available		CAND_PUB_cell2location_34b39045863f	cell2location	publication	1	129479	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_5a40fa17bc7ebe2f	doi:10.1038/s41592-024-02303-9	CellRank 2: unified fate mapping in multiview single-cell data	10.1038/s41592-024-02303-9	https://doi.org/10.1038/s41592-024-02303-9	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/CellRank_CAND_PUB_CellRank_363ead324201.pdf	data/evidence_sources/text/CellRank_CAND_PUB_CellRank_363ead324201.txt	data/evidence_sources/pdfs/sources/SRC_5a40fa17bc7ebe2f_CellRank_2:_unified_fate_mapping_in_multiview_single-cell_data.pdf	validated_source_text_available		CAND_PUB_CellRank_363ead324201	CellRank	publication	1	122372	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_a730ab89725a8176	doi:10.1038/s41592-021-01346-6	CellRank for directed single-cell fate mapping	10.1038/s41592-021-01346-6	https://doi.org/10.1038/s41592-021-01346-6	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/CellRank_CAND_PUB_CellRank_37ae953d1d1a.pdf	data/evidence_sources/text/CellRank_CAND_PUB_CellRank_37ae953d1d1a.txt	data/evidence_sources/pdfs/sources/SRC_a730ab89725a8176_CellRank_for_directed_single-cell_fate_mapping.pdf	validated_source_text_available		CAND_PUB_CellRank_37ae953d1d1a	CellRank	publication	1	173860	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_58a6575d67cb176a	doi:10.1186/s13619-020-00041-9	Comparison of Scanpy-based algorithms to remove the batch effect from single-cell RNA-seq data	10.1186/s13619-020-00041-9	https://doi.org/10.1186/s13619-020-00041-9	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/Scanpy_HR_BMK_Scanpy_batch_correction_2020.pdf	data/evidence_sources/text/Scanpy_HR_BMK_Scanpy_batch_correction_2020.txt	data/evidence_sources/pdfs/sources/SRC_58a6575d67cb176a_Comparison_of_Scanpy-based_algorithms_to_remove_the_batch_effect_from_single-cel.pdf	validated_source_text_available		HR_BMK_Scanpy_batch_correction_2020	Scanpy	benchmark	1	41999	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_7add740c6d0c0d93	doi:10.1126/science.abl5197	Cross-tissue immune cell analysis reveals tissue-specific features in humans	10.1126/science.abl5197	https://doi.org/10.1126/science.abl5197	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/news/CellTypist_CAND_PUB_CellTypist_0ab6945053d3.pdf	data/evidence_sources/text/CellTypist_CAND_PUB_CellTypist_0ab6945053d3.txt	data/evidence_sources/pdfs/sources/SRC_7add740c6d0c0d93_Cross-tissue_immune_cell_analysis_reveals_tissue-specific_features_in_humans.pdf	validated_source_text_available		CAND_PUB_CellTypist_0ab6945053d3	CellTypist	publication	1	87537	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_8c13362037b9d649	doi:10.1101/461954	Fast, sensitive, and accurate integration of single cell data with Harmony	10.1101/461954	https://doi.org/10.1101/461954	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/news/Harmony_CAND_PUB_Harmony_072fd76703cc.pdf	data/evidence_sources/text/Harmony_CAND_PUB_Harmony_072fd76703cc.txt	data/evidence_sources/pdfs/sources/SRC_8c13362037b9d649_Fast_sensitive_and_accurate_integration_of_single_cell_data_with_Harmony.pdf	validated_source_text_available		CAND_PUB_Harmony_072fd76703cc	Harmony	publication	1	84429	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_bf5e31cb81e067ee	doi:10.1038/s41587-020-0591-3	Generalizing RNA velocity to transient cell states through dynamical modeling	10.1038/s41587-020-0591-3	https://doi.org/10.1038/s41587-020-0591-3	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/news/scVelo_CAND_PUB_scVelo_524cf1f1f80e.pdf	data/evidence_sources/text/scVelo_CAND_PUB_scVelo_524cf1f1f80e.txt	data/evidence_sources/pdfs/sources/SRC_bf5e31cb81e067ee_Generalizing_RNA_velocity_to_transient_cell_states_through_dynamical_modeling.pdf	validated_source_text_available		CAND_PUB_scVelo_524cf1f1f80e	scVelo	publication	1	79010	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_883dc4dbc0ec18c1	doi:10.1038/s41590-018-0276-y	Reference-based analysis of lung single-cell sequencing reveals a transitional profibrotic macrophage	10.1038/s41590-018-0276-y	https://doi.org/10.1038/s41590-018-0276-y	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/news/SingleR_CAND_PUB_SingleR_2019_Aran.pdf	data/evidence_sources/text/SingleR_CAND_PUB_SingleR_2019_Aran.txt	data/evidence_sources/pdfs/sources/SRC_883dc4dbc0ec18c1_Reference-based_analysis_of_lung_single-cell_sequencing_reveals_a_transitional_p.pdf	validated_source_text_available		CAND_PUB_SingleR_2019_Aran	SingleR	publication	1	83018	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
SRC_e64e19b9a94fd32d	doi:10.1371/journal.pcbi.1010492	RNA velocity unraveled	10.1371/journal.pcbi.1010492	https://doi.org/10.1371/journal.pcbi.1010492	doi_landing_or_open_html	source_text_available	data/evidence_sources/pdfs/news/scVelo_HR_BMK_scVelo_velocity_unraveled_2022.pdf	data/evidence_sources/text/scVelo_HR_BMK_scVelo_velocity_unraveled_2022.txt	data/evidence_sources/pdfs/sources/SRC_e64e19b9a94fd32d_RNA_velocity_unraveled.pdf	validated_source_text_available		HR_BMK_scVelo_velocity_unraveled_2022	scVelo	benchmark	1	196983	Manual/open-source text capture target. Do not promote without review packet validation.; PDF text extracted by pypdf; discovery only, not promotion evidence
