claim_id	subject_id	subject	predicate	object_id	object	claim_text	source_document_id	source_document	source_type	source_authority	authority_tier	source_span_id	exact_evidence_locator	source_local_wording	scope	modality	version	projected_kg_relation	derived_relation_ids	alias_version_ambiguity	alias_version_note	multi_entity_evidence	evidence_entities	possible_contradiction	contradiction_note	review_risk	review_risk_reasons	review_decision	reviewer_reason
atomic-claim:20e8041f84905605ac9b22d4	method:hvg_selection	HVG selection	supports_task	task:feature_selection	feature selection	HVG selection identifies highly variable genes for feature selection.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	…- chondrial genes and cells expressing more than 3,500 genes. Following, we size normalized cells to 10,000 (scanpy.pp.normalize_total with total_sum=1e4), applied a log1p-transformation (scanpy.pp.log1p) and annotated highly variable genes with scanpy.pp.highly_variable_genes. We based all further analyses on these highly variable genes and the marker genes identified by the study introducing the embryoid body development dataset 32. The neighbor graph was computed for 30 neighbors using 30 principal components (PCs). CytoTRACEKernel analysis. T o compute the CytoTRACE score18, we first imputed the normalized count matrix by fir…	reported_workflow	scRNA-seq		SUPPORTS_TASK		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:5a46ab0f1a2a9780c46104d5	method:hvg_selection	HVG selection	consumes	representation:log1p_normalized	log1p_normalized	The documented Scanpy workflow applies normalization and log1p transformation before annotating highly variable genes.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	…oved cells with more than 17,500 counts, cells for which more than 15% of counts originate from mito - chondrial genes and cells expressing more than 3,500 genes. Following, we size normalized cells to 10,000 (scanpy.pp.normalize_total with total_sum=1e4), applied a log1p-transformation (scanpy.pp.log1p) and annotated highly variable genes with scanpy.pp.highly_variable_genes. We based all further analyses on these highly variable genes and the marker genes identified by the study introducing the embryoid body development dataset 32. The neighbor graph was computed for 30 neighbors using 30 principal components (PCs). CytoTRACEKernel analysis. T o compute the CytoTRACE score18, we first imputed the normalized count matrix by fir…	reported_workflow	scRNA-seq		CONSUMES		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:9bca74fc29365b21162cd383	method:hvg_selection	HVG selection	produces	representation:hvg_selection	hvg_selection	Scanpy highly_variable_genes produces an annotation identifying highly variable genes.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	…from mito - chondrial genes and cells expressing more than 3,500 genes. Following, we size normalized cells to 10,000 (scanpy.pp.normalize_total with total_sum=1e4), applied a log1p-transformation (scanpy.pp.log1p) and annotated highly variable genes with scanpy.pp.highly_variable_genes. We based all further analyses on these highly variable genes and the marker genes identified by the study introducing the embryoid body development dataset 32. The neighbor graph was computed for 30 neighbors using 30 principal components (PCs). CytoTRACEKernel analysis. T o compute the CytoTRACE score18, we first imputed the normalized count matrix by fir…	reported_workflow	scRNA-seq		PRODUCES		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:f47baa416548c9c7b6f367a0	method:pca	PCA	supports_task	task:dimensionality_reduction	dimensionality reduction	PCA computes a lower-dimensional embedding used in single-cell workflows.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	…fault parameters. We ran our analyses in Python, relying on the standard single-cell biology tools Scanpy84 and AnnData85; we specify other relevant pack- ages where applicable. For Scanpy-based workflows84, we computed PCA embeddings, neighbor graphs and UMAP embeddings86 with the scanpy.tl.pca, scanpy.pp.neighbors and scanpy.tl.umap functions, respectively. For analyses based on CellRank 2 kernels, the kernel method com- pute_transition_matrix computed transition probabilities, and the ker- nel method cbc the CBC score. We used the GPCCA estimator functions to compute macrostates (compute_macrostates)20 and the TSI score (tsi), define terminal st…	reported_workflow	scRNA-seq		SUPPORTS_TASK		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:f5af082bedee0ce6f377fd0a	method:pca	PCA	consumes	representation:scaled_expression	scaled_expression	In the reported workflow, PCA consumes filtered, log1p-transformed and scaled expression values.	SRCV2_2899fbdab02dd07e	Cell2location maps fine-grained cell types in spatial transcriptomics	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:2ce33a19b8410c63f5a8	page:14;section:1. Selecting genes detected at mRNA count >0 in >5% of cells;paragraph:49	2. Selecting genes detected at mRNA count >0 in a few cells (5% > cell count > 0.4%) but with a mean expression >1.122018 across cells with count >0 The filtered data were then log1p-transformed and scaled. PCA was performed (30 components), and the first component, which was strongly associated with total mRNA count per cell, was removed. Next, BBKNN 33 was used to refine the integration across all six snRNA-seq datasets with the default parameters, except neighbors_within_batch = 3. The corrected KNN graph was used to perform UMAP dimensionality reduction and Leiden clusterin…	reported_workflow	scRNA-seq		CONSUMES		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	PCA;neighbor graph;UMAP;Leiden;Scanpy;Seurat;BBKNN	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:e7072f71f26cb42899304423	method:pca	PCA	produces	representation:pca_embedding	pca_embedding	Scanpy PCA produces a PCA embedding.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	…fault parameters. We ran our analyses in Python, relying on the standard single-cell biology tools Scanpy84 and AnnData85; we specify other relevant pack- ages where applicable. For Scanpy-based workflows84, we computed PCA embeddings, neighbor graphs and UMAP embeddings86 with the scanpy.tl.pca, scanpy.pp.neighbors and scanpy.tl.umap functions, respectively. For analyses based on CellRank 2 kernels, the kernel method com- pute_transition_matrix computed transition probabilities, and the ker- nel method cbc the CBC score. We used the GPCCA estimator functions to compute macrostates (compute_macrostates)20 and the TSI score (tsi), define terminal st…	reported_workflow	scRNA-seq		PRODUCES	claim-relation:fe83cf26e588435b24ec3241;claim-relation:88a71936846cb7a0f6d5fa48	true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:3c09bab987f00e2fd8dcc8aa	method:pca	PCA	key_parameter	parameter:pca_n_components	pca_n_components	The reported PCA workflow used 30 components.	SRCV2_2899fbdab02dd07e	Cell2location maps fine-grained cell types in spatial transcriptomics	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:2ce33a19b8410c63f5a8	page:14;section:1. Selecting genes detected at mRNA count >0 in >5% of cells;paragraph:49	2. Selecting genes detected at mRNA count >0 in a few cells (5% > cell count > 0.4%) but with a mean expression >1.122018 across cells with count >0 The filtered data were then log1p-transformed and scaled. PCA was performed (30 components), and the first component, which was strongly associated with total mRNA count per cell, was removed. Next, BBKNN 33 was used to refine the integration across all six snRNA-seq datasets with the default parameters, except neighbors_within_batch = 3. The corrected KNN graph was used to perform UMAP dimensionality reduction and Leiden clustering with resolutio…	dataset_specific	scRNA-seq		KEY_PARAMETER		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	PCA;neighbor graph;UMAP;Leiden;Scanpy;Seurat;BBKNN	true	Dataset-specific parameter must not be promoted as a universal default.	high	dataset_specific_scope;multi_entity_source_span;alias_or_version_scope;possible_scope_or_output_conflict		
atomic-claim:05f99318736117acd69561a2	method:neighbor_graph_construction	neighbor graph construction	supports_task	task:neighborhood_graph_construction	neighborhood graph construction	Scanpy neighbors computes a cell-neighborhood graph.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	…. We ran our analyses in Python, relying on the standard single-cell biology tools Scanpy84 and AnnData85; we specify other relevant pack- ages where applicable. For Scanpy-based workflows84, we computed PCA embeddings, neighbor graphs and UMAP embeddings86 with the scanpy.tl.pca, scanpy.pp.neighbors and scanpy.tl.umap functions, respectively. For analyses based on CellRank 2 kernels, the kernel method com- pute_transition_matrix computed transition probabilities, and the ker- nel method cbc the CBC score. We used the GPCCA estimator functions to compute macrostates (compute_macrostates)20 and the TSI score (tsi), define terminal states (set_terminal_st…	reported_workflow	scRNA-seq		SUPPORTS_TASK		true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:ea728cd996a33c190876b504	method:neighbor_graph_construction	neighbor graph construction	consumes	representation:pca_embedding	pca_embedding	The reported neighbor graph was computed from principal components.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	…ly variable genes with scanpy.pp.highly_variable_genes. We based all further analyses on these highly variable genes and the marker genes identified by the study introducing the embryoid body development dataset 32. The neighbor graph was computed for 30 neighbors using 30 principal components (PCs). CytoTRACEKernel analysis. T o compute the CytoTRACE score18, we first imputed the normalized count matrix by first-order moments with scVelo’s scvelo.pp.moments function; the score itself was calculated with the compute_cytotrace method of the CytoTRACEKernel. We computed the transition matrix with the soft thresholding scheme (thresholding_scheme=‘s…	reported_workflow	scRNA-seq		CONSUMES	claim-relation:fe83cf26e588435b24ec3241	true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
atomic-claim:438df4f8c7ab4d8c2e089f0d	method:neighbor_graph_construction	neighbor graph construction	produces	representation:neighbor_graph	neighbor_graph	Scanpy neighbors produces a neighbor graph.	SRCV2_2299659ba3176976	CellRank 2: unified fate mapping in multiview single-cell data	doi_landing_or_open_html	primary_or_peer_reviewed_source_document	source_material	sourcev2:60da5ea070cf59f85008	page:15;section:2 + (|G|−| D|)|D|,;paragraph:41	…. We ran our analyses in Python, relying on the standard single-cell biology tools Scanpy84 and AnnData85; we specify other relevant pack- ages where applicable. For Scanpy-based workflows84, we computed PCA embeddings, neighbor graphs and UMAP embeddings86 with the scanpy.tl.pca, scanpy.pp.neighbors and scanpy.tl.umap functions, respectively. For analyses based on CellRank 2 kernels, the kernel method com- pute_transition_matrix computed transition probabilities, and the ker- nel method cbc the CBC score. We used the GPCCA estimator functions to compute macrostates (compute_macrostates)20 and the TSI score (tsi), define terminal states (set_terminal_st…	reported_workflow	scRNA-seq		PRODUCES	claim-relation:fb3520459d873d40863ce022;claim-relation:8269a3ae3d39ee61104edd99	true	Generic method identity is supported here by a Scanpy workflow/API use and needs scope review before canonical projection.	true	HVG selection;PCA;neighbor graph;UMAP;Scanpy;CellRank;scVelo	false		medium	reported_workflow_not_universal;multi_entity_source_span;alias_or_version_scope		
