severity	issue_type	table_name	record_id	tool_name	field_name	field_value	issue_detail	suggested_action	recommendation_grade_risk
high	missing_work_group_id	tool_benchmarks	HR_BMK_CellTypist_annotation_2023	CellTypist	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_DoubletFinder_doublet_detection_2020	DoubletFinder	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_Harmony_scIB_integration_2022	Harmony	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_MOFA2_jDR_cancer_2021	MOFA2	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_Scanpy_batch_correction_2020	Scanpy	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_Scrublet_doublet_detection_2020	Scrublet	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_Seurat_scIB_integration_2022	Seurat	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_SingleR_annotation_2023	SingleR	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_SoupX_ambient_decontamination_2026	SoupX	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_cell2location_spatial_deconvolution_2022	cell2location	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_scGPT_SAE_interpretability_2026	scGPT	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_scVelo_velocity_unraveled_2022	scVelo	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
high	missing_work_group_id	tool_benchmarks	HR_BMK_scvi_tools_scIB_integration_2022	scvi-tools	work_group_id		Required or governance-significant field is blank: work_group_id.	Assign conservative work_group_id through human-reviewed canonical grouping.	high
