entity	subject_id	predicate	claim_count	evidence_sources	review_risk	risk_reasons
CellTypist	tool:celltypist	key_parameter	2	SRCV2_6225b07438c4a2cd|CellTypist official GitHub README	medium	alias_or_version_scope;multi_entity_source_span
CellTypist	tool:celltypist	limitation	1	SRCV2_6225b07438c4a2cd|CellTypist official GitHub README	medium	alias_or_version_scope;conditional_limitation_boundary;multi_entity_source_span
CellTypist	tool:celltypist	produces	1	SRCV2_6225b07438c4a2cd|CellTypist official GitHub README	medium	alias_or_version_scope
CellTypist	tool:celltypist	requires_representation	1	SRCV2_6225b07438c4a2cd|CellTypist official GitHub README	high	alias_or_version_scope;multi_entity_source_span;possible_scope_or_output_conflict
CellTypist	tool:celltypist	supports_task	1	SRCV2_6225b07438c4a2cd|CellTypist official GitHub README	medium	alias_or_version_scope
HVG selection	method:hvg_selection	consumes	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
HVG selection	method:hvg_selection	produces	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
HVG selection	method:hvg_selection	supports_task	1	SRCV2_2299659ba3176976|CellRank 2: unified fate mapping in multiview single-cell data	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
Harmony	tool:harmony	consumes	1	SRCV2_41478613cbd9d76f|Harmony official GitHub README	medium	multi_entity_source_span
Harmony	tool:harmony	key_parameter	1	SRCV2_41478613cbd9d76f|Harmony official GitHub README	medium	multi_entity_source_span
Harmony	tool:harmony	limitation	1	SRCV2_2c0511efe147368a|Fast, sensitive, and accurate integration of single cell data with Harmony	high	conditional_limitation_boundary;multi_entity_source_span;possible_scope_or_output_conflict
Harmony	tool:harmony	produces	1	SRCV2_41478613cbd9d76f|Harmony official GitHub README	medium	multi_entity_source_span
Harmony	tool:harmony	requires_representation	1	SRCV2_41478613cbd9d76f|Harmony official GitHub README	medium	multi_entity_source_span
Harmony	tool:harmony	supports_task	1	SRCV2_41478613cbd9d76f|Harmony official GitHub README	medium	multi_entity_source_span
Leiden	method:leiden	consumes	1	SRCV2_2899fbdab02dd07e|Cell2location maps fine-grained cell types in spatial transcriptomics	medium	alias_or_version_scope;multi_entity_source_span;reported_workflow_not_universal
Leiden	method:leiden	key_parameter	1	SRCV2_2899fbdab02dd07e|Cell2location maps fine-grained cell types in spatial transcriptomics	high	alias_or_version_scope;dataset_specific_scope;multi_entity_source_span;possible_scope_or_output_conflict
Leiden	method:leiden	produces	1	SRCV2_2899fbdab02dd07e|Cell2location maps fine-grained cell types in spatial transcriptomics	high	alias_or_version_scope;dataset_specific_scope;multi_entity_source_span;possible_scope_or_output_conflict
