query_id	target_task	target_modality	source_tool	source_task	transferable_mechanism	vector_similarity	graph_jaccard	io_compatibility	compatibility_gaps	risk_level	candidate_decision	reviewer_decision	reviewer_notes
MIG_V09_GAP_008	Foundation Model Representation	Spatial Transcriptomics	cell2location	Spatial Deconvolution	Reference-based spatial abundance modeling can serve as a contrastive mechanism when comparing niche representation against dedicated composition models.	medium	partial	partial	only supporting comparator for mechanism analysis; not a foundation model; requires matched reference and deconvolution validation	medium	review_needed	accept_exploratory	Comparator-only role accepted.
MIG_V09_GAP_001	Spatial Deconvolution	Spatial Transcriptomics	cell2location	Spatial Deconvolution	Bayesian count-mixture deconvolution can inspire exploratory transfer to non-Visium spatial assays whose locations remain mixed cell-type signals.	high	partial	high	requires matched or defensible single-cell reference; new assay geometry needs validation; abundance estimates cannot be assumed benchmark-backed	medium	review_needed	accept_exploratory	Bayesian deconvolution is a legitimate exploratory path with explicit geometry caveat.
MIG_V09_GAP_006	Foundation Model Representation	scRNA-seq	CellPLM	Foundation Model Representation	Pretrained cell embeddings can be used as exploratory feature extractors for rare representation-transfer tasks.	high	partial	partial	independent third-party benchmarks limited; embeddings do not provide causal proof; downstream validation required	high	review_needed	accept_exploratory	Feature extraction only; no causal inference.
MIG_V09_GAP_009	Trajectory Inference	scRNA-seq	CellRank	Trajectory Inference	Transition-kernel composition and absorbing-state probability can transfer as exploratory fate-hypothesis machinery when a credible kernel exists.	high	partial	partial	requires transition kernel, pseudotime, velocity, or other justified dynamics; UMAP alone is insufficient	medium	review_needed	accept_exploratory	Markov-fate mapping is valid only with a real kernel.
MIG_V09_GAP_003	Cell Type Annotation	scRNA-seq	CellTypist	Cell Type Annotation	Reference-trained classifier confidence can transfer as an exploratory label-similarity mechanism for cross-tissue atlas annotation hypotheses.	high	partial	high	requires curated reference model; domain shift and label granularity must be validated; classifier confidence is not biological certainty	medium	review_needed	accept_exploratory	Classifier confidence is useful only as an exploratory similarity signal.
MIG_V09_GAP_011	Doublet Detection	scRNA-seq	DoubletFinder	Doublet Detection	Artificial-doublet generation can transfer as an exploratory synthetic-positive anomaly scoring mechanism.	high	partial	partial	requires task-specific synthetic positive generator and threshold validation; not a generic QC detector	medium	review_needed	accept_exploratory	Anomaly scoring only, not generic QC.
MIG_V09_GAP_004	Data Integration	scRNA-seq	Harmony	Data Integration	Embedding-level correction can transfer as a fast exploratory cross-sample alignment prototype when raw-count generative modeling is not required.	high	partial	partial	requires precomputed high-quality embedding; cannot infer raw count corrections; alignment must be validated against biology preservation	medium	review_needed	accept_exploratory	Embedding-level correction is valid for fast alignment prototypes only.
MIG_V03_001	Perturbation Differential Expression	scRNA-seq	MIMOSCA	Perturbation Differential Expression	Additive perturbation-effect linear decomposition can provide a conservative treatment/control response baseline.	pending	pending	high	requires explicit perturbation labels; nonlinear epistasis or multimodal responses must be caveated	medium	needs_more_evidence	accept_exploratory	Accepted as exploratory native mechanism. Must state that strong nonlinear epistasis, multimodal responses, or complex modern perturbation designs can invalidate the linear additive model.
MIG_V03_008	Multi-view Latent Perturbation	multi-omics	MOFA2	Multiome Integration	Shared sparse latent factors may carry perturbation-driven coordinated shifts across matched omics layers.	pending	pending	partial	requires strictly matched cells or samples across omics layers and careful factor interpretation	medium	needs_more_evidence	accept_exploratory	Accepted as exploratory multi-view perturbation hypothesis. Requires matched multi-omics and cannot claim benchmark-backed perturbation performance.
MIG_V03_003	Spatial Multiome Mapping	Spatial Transcriptomics	moscot	Optimal Transport Trajectory	Fused Gromov-Wasserstein coupling can suggest spatial-to-single-cell or cross-modality mapping hypotheses.	pending	pending	partial	requires manually tuned fused cost matrix over spatial physical distance and omics similarity	high	needs_more_evidence	accept_exploratory	Exploratory architecture is plausible but high skill. Requires manual joint-cost design and validation data before scientific interpretation.
MIG_V09_GAP_007	Foundation Model Representation	Spatial Transcriptomics	nicheformer	Foundation Model Representation	Niche-aware embeddings can inspire exploratory spatial microenvironment representation hypotheses.	high	partial	partial	must not replace deconvolution tools; spatial embedding does not equal abundance estimate; validation required	high	review_needed	accept_exploratory	Spatial niche representation is exploratory only.
MIG_V09_GAP_013	QC	scRNA-seq	Scanpy	QC	AnnData-centered workflow utilities may support migration prototypes but do not constitute a single transferable algorithm.	low	low	partial	toolkit not a single algorithm; benchmark claims must be function-specific; avoid treating as migration source mechanism	medium	review_needed	reject_incompatible	Toolkit-level utilities are not an algorithmic migration source.
MIG_V03_005	Foundation Model Perturbation Transfer	scRNA-seq	scGPT	Foundation Model Representation	Zero-shot foundation-model embeddings may be used as features to inspect perturbation-associated representation drift.	pending	pending	partial	causal regulatory network inference is not supported by representation drift alone; fine-tuning and validation are required	high	needs_more_evidence	accept_exploratory	Accepted as feature-extraction hypothesis only. Hard block any claim that zero-shot embeddings directly recover causal gene regulatory networks.
MIG_V03_006	Rare Artifact Detection	scRNA-seq	Scrublet	Doublet Detection	Simulation-based anomaly scoring may transfer if task-specific synthetic positive artifacts can be generated.	pending	pending	partial	requires an external custom artifact simulator and threshold validation for the target artifact	medium	needs_more_evidence	accept_exploratory	Accepted as exploratory simulation mechanism. Main blocker is a biologically grounded simulator for the rare artifact class.
MIG_V09_GAP_010	RNA Velocity	scRNA-seq	scVelo	RNA Velocity	Splicing kinetic directionality can transfer only as an exploratory dynamic-state hypothesis when spliced/unspliced layers are present.	high	partial	partial	requires spliced/unspliced layers; kNN smoothing and kinetic assumptions can distort direction; not valid for ordinary expression-only matrices	high	review_needed	accept_exploratory	Strict layer requirement preserved.
MIG_V09_GAP_012	Multiome Integration	scRNA-seq+scATAC-seq	scvi-tools	Multiome Integration	Deep latent-variable modeling can transfer as exploratory probabilistic multi-view representation when uncertainty and covariates matter.	medium	partial	partial	black-box model; requires training diagnostics; not automatically interpretable or benchmark-backed for migration target	high	review_needed	needs_more_evidence	Need explicit subclass and loss definition before acceptance.
MIG_V09_GAP_005	Data Integration	scRNA-seq	Seurat	Data Integration	Anchor or WNN matching ideas can transfer as exploratory cross-sample or cross-modal alignment hypotheses.	medium	partial	partial	version-specific workflow; claims must specify anchor/WNN scope; not a single fixed algorithmic guarantee	medium	review_needed	accept_exploratory	Seurat should be scoped to anchor/WNN matching, not broad superiority claims.
MIG_V09_GAP_002	Cell Type Annotation	scRNA-seq	SingleR	Cell Type Annotation	Reference-correlation scoring can transfer as an exploratory label-similarity mechanism for cross-tissue atlas problems when no directly matched annotator exists.	high	partial	high	requires trusted reference atlas; label hierarchy and domain shift must be checked; unseen states remain weak	medium	review_needed	accept_exploratory	Reference-correlation scoring is exploratory only and must not be treated as a deterministic classifier.
MIG_V03_007	Spatial Contamination Removal	Spatial Transcriptomics	SoupX	Ambient RNA Removal	Background-profile subtraction may transfer by mapping empty droplets to empty or off-tissue spatial spots.	pending	pending	partial	requires spatial background spots, lateral diffusion checks, and marker preservation validation	medium	needs_more_evidence	accept_exploratory	Accepted as exploratory contamination-modeling route. Must reinterpret empty droplets as spatial background spots and validate marker preservation.
MIG_V03_002	Perturbation Differential Expression	scRNA-seq	tradeSeq	Trajectory Differential Expression	Smooth GAM regression can transfer to perturbation response only when perturbation is ordered by dose, time, or another continuous covariate.	pending	pending	partial	requires ordered dose or time covariate; block unordered discrete KO labels from using this mechanism	medium	needs_more_evidence	accept_exploratory	Strong-condition exploratory accept. Only valid for continuous gradient or time-exposure perturbation designs; forbid direct use for unordered discrete perturbation classes.
