review_priority	action_type	table_name	record_id	tool_name	issue_types	current_value	recommended_action	formal_table_mutation_allowed	reviewer_decision	reviewer_notes
P1	canonical_group_review	tool_benchmarks	HR_BMK_CellTypist_annotation_2023	CellTypist	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1093/bib/bbad418; paper_title=A comprehensive benchmarking of cell type annotation methods for single-cell RNA sequencing; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_DoubletFinder_doublet_detection_2020	DoubletFinder	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1016/j.cels.2020.11.008; paper_title=Benchmarking Computational Doublet-Detection Methods for Single-Cell RNA Sequencing Data; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_Harmony_scIB_integration_2022	Harmony	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1038/s41592-021-01336-8; paper_title=Benchmarking atlas-level data integration in single-cell genomics; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_MOFA2_jDR_cancer_2021	MOFA2	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_Scanpy_batch_correction_2020	Scanpy	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_Scrublet_doublet_detection_2020	Scrublet	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1016/j.cels.2020.11.008; paper_title=Benchmarking Computational Doublet-Detection Methods for Single-Cell RNA Sequencing Data; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_Seurat_scIB_integration_2022	Seurat	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1038/s41592-021-01336-8; paper_title=Benchmarking atlas-level data integration in single-cell genomics; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_SingleR_annotation_2023	SingleR	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1093/bib/bbad418; paper_title=A comprehensive benchmarking of cell type annotation methods for single-cell RNA sequencing; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_SoupX_ambient_decontamination_2026	SoupX	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_cell2location_spatial_deconvolution_2022	cell2location	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_scGPT_SAE_interpretability_2026	scGPT	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_scVelo_velocity_unraveled_2022	scVelo	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_scvi_tools_scIB_integration_2022	scvi-tools	duplicate_paper_doi;duplicate_paper_title;missing_paper_pmid;missing_work_group_id	work_group_id=; paper_doi=10.1038/s41592-021-01336-8; paper_title=Benchmarking atlas-level data integration in single-cell genomics; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Review whether rows should share work_group_id or be marked non-canonical/supporting.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P1	canonical_group_review	tool_benchmarks	HR_BMK_tradeSeq_trajectory_de_2024	tradeSeq	missing_paper_pmid;missing_work_group_id	work_group_id=; paper_pmid=	Assign conservative work_group_id through human-reviewed canonical grouping.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
P2	formal_provenance_cleanup_review	tool_publications	CAND_PUB_CellPLM_a0805df33b05	CellPLM	candidate_marker_in_formal_table;default_trunk_isolated_tool;empty_task_node;missing_pmid;missing_task	publication_id=CAND_PUB_CellPLM_a0805df33b05; task=; task=; task=; pmid=	Review provenance wording and decide whether to normalize record IDs/notes without changing evidence meaning.; Add a reviewed task mapping, or keep the row evidence-only until the task relationship is approved.; Either supply a reviewed task label or keep the record evidence-only until task mapping is approved.; Add reviewed task mapping or keep record evidence-only without Tool-Task visual edge.; Lookup PMID where available; if no PMID exists, record explicit no_pmid reason in review notes.	false		
