item_type,item_id,module,definition,design1_status,proposed_5c_status,reason,competency_questions,human_decision,human_notes
OBJECT_TYPE,ScientificTask,scKG-core,A bounded analysis objective.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-B01,,
OBJECT_TYPE,Method,scKG-core,An implementation-independent scientific method.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-A01;CQ-B06,,
OBJECT_TYPE,MethodVariant,scKG-core,A method specialization defined by scientifically meaningful conditions.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-B02;CQ-B03,,
OBJECT_TYPE,ParameterDefinition,scKG-core,A version-aware operator parameter definition.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-B03,,
OBJECT_TYPE,Limitation,compatibility,A reusable named limitation object in v1.,PROPOSED_V2,MERGE,Use assertion_kind=limitation and an entity subject; defer reusable limitation-object taxonomy.,CQ-E04,,
OBJECT_TYPE,SoftwareProject,scKG-core,A software project identity independent of packaging and release.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-B01,,
OBJECT_TYPE,Package,scKG-core,A distribution artifact identity within an ecosystem.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-B01,,
OBJECT_TYPE,PackageRelease,scKG-core,An immutable versioned package release.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-A02,,
OBJECT_TYPE,Operator,scKG-core,A stable callable operator identity.,PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-A05,,
OBJECT_TYPE,OperatorRevision,scKG-core,"Release-bound scientific description of an operator, its implemented method and typed ports; not an executable ToolContract or permission.",PROPOSED_V2,CORE_OBJECT_TYPE,Independent referent needed by the listed scientific use cases; lifecycle and relationships cannot be represented by a scalar alone.,CQ-A01;CQ-B05,,
OBJECT_TYPE,ReferenceArtifact,scKG-core,"A stable identity for an atlas, model, or mapping resource.",PROPOSED_V2,CORE_OBJECT_TYPE,"N02: existing versioned model, explicit reference, atlas/mapping and pinned-resource scientific requirements need this minimal identity/revision pair.",CQ-D03,,
OBJECT_TYPE,ReferenceArtifactRevision,scKG-core,A content-addressed reference artifact revision.,PROPOSED_V2,CORE_OBJECT_TYPE,"N02: existing versioned model, explicit reference, atlas/mapping and pinned-resource scientific requirements need this minimal identity/revision pair.",CQ-D03,,
